Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
"Iaurt natural 2,8% Oikos Danone",67,7,2.8,3.5,0,
"Iaurt natural 3,5% Yomo",68,3.5,3.5,4,0,
"Iaurt natural 3,7% Onken",72,3.9,3.7,5.6,0.1,
"Iaurt natural 4,1%  SIM",54,3.2,4.1,2.8,0,1 pahar = 175 g
"Iaurt natural 7,3% de capra St Helen's",105,5.5,7.3,4.3,0,
Iaurt natural Bio 3.5% Olympus,70,5,3.5,4.5,0,1 pahar = 150 g
"Iaurt natural de oaie 3,5 % Artesana",70,3.9,3.8,5.1,0,1 buc = 220 ml 
Iaurt natural soia Savia Danone,75,2.8,1.7,11.5,0.6,
Iaurt naturl 2% Clever,49.6,3.2,2,4.8,0,1 cutie = 900 g
"Iaurt Nutriday 1,4 % usor Danone",39,3,1.4,3.6,0,1 pahar = 100 g
Iaurt oaie si bivolita Cedra Napolact,85,3.7,6,4.1,0,
Iaurt pepene verde Yoplait Tnuva,108,4.2,3.6,3.6,0,
Iaurt piersici si amaretto Activia Danone,106,3.6,3.3,14.6,0.2,1 pahar mic = 125 g
Iaurt portocale Froop Muller,112,3.6,3,16.8,0,1 buc = 150 g
Iaurt probiotic 2% Olympus,56,5.2,2,4.2,0,1 pahar = 150 g
Iaurt Royal 4% Brenac,65,3.9,4,4.5,0,
Iaurt Simplu 2% Tnuva,51,3.7,2,4.6,0,1 pahar mic = 145 g
Iaurt stracciatello Muller,131,4.1,4.3,18.1,0,1 pahar = 500 g
Iaurt tiramisu Cremoso Danone,111,4,4.6,13.6,0,1 pahar = 125 g
"Iaurt usor 1,5% Fulga",44,3.2,1.5,4.5,0,1 cutie mica = 125 g
"Iaurt usor ecologic 0,1% Bioland",47,5.5,0.1,5.9,0,1 borcan = 150 g
"Iaurt usurel 0,1% Napolact",33,3.8,0.1,4.1,0,
"Iaurt vaca 3,1 % Gusturi Romanesti",59,3.8,3.1,3.8,0,1 borcanel = 200g
Iaurt visine Danone Nutriday Delicios,82,2.9,1.8,13.3,0.1,1 pahar = 125 g
Iaurt zdravan 6% Napolact,80,3.1,6,3.6,0,1 buc = 200 g
"Iaurtnatur Cremosso 5,3% Danone",82,4.6,5.3,4,0,1 pahar = 125 g
"Iaurtul meu fin Tnuva 0,1%",35,3.8,0.1,4.8,0,1 pahar = 150 g
"Iaurtul usor 0,1% Lactag",30.5,3.4,0.1,4,0,1 cutie = 375 g
Ice coffee,82,3.5,1.5,13,0,
Kefir 1% Alba,36.2,3,1,3.8,0,1 pahar = 500 g
"Kefir 1,5% Muller",46,3.7,1.5,4.4,0,1 pahar = 500 g
"Kefir 2,5% Boni",61,3.2,2.5,4,0,1 sticla = 500ml
"Kefir 2,8%  Lacteea",59,3.2,2.8,4.5,0,1 sticla = 500 g
"Kefir 3,3% Paco",61.3,3.2,3.3,4.7,0,1 sticla = 330 g
"Kefir 3,5% Napolact",62,3.5,3.5,4,0,
Kefir 3.5% Unicarm,58,3.1,3.5,3.6,0,1 sticla = 900 g
Kefir bio Andechser,44,3.4,1.5,4.1,0,
Kefir caucazian Milli,58,3.3,3,4,0,1 cutie = 500 g
"Kefir de capra 3,5% LaColline",61,3.5,3.6,3.7,0,1 sticla = 500 g
"Kefir din lapte de oaie 3,8% Artesana",69,3.9,3.8,4.7,0,1 sticla = 330 ml
"Kefir light 0,1% Paco",33.3,3.2,0.1,4.7,0.9,1 sticla = 450 g
Kefir Rustic 3% Buni Gospodari,56.4,3.2,3,4.1,0,1 sticla = 900 g
Kefir Zott,45,3.2,1.4,4.8,0,
"Lapte  UHT 0,3% Envia",38,3.6,0.3,5.1,0,1 cutie = 1 l
"Lapte 0,1% degresat Zuzu",31,3.2,0,4.5,0,
"Lapte 0,1% Kaufland",31,3.1,0.1,4.5,0,
"Lapte 0,1% Oke",30,3,0.1,4.5,0,
"Lapte 0,1% UHT 365 Delhaize",33,3.3,0.1,4.8,0,1 cutie = 1000 ml
"Lapte 0,3% cu cacao Ole Ole Brenac",64.3,3.4,0.3,12,0,
"Lapte 0,5% Ollingegaard eco",41,4,0.5,4.8,0,
"Lapte 0,5% UHT Milli",35,3.3,0.5,4.5,0,
"Lapte 1,4% cu cacao Monor",73,3.1,1.4,11.2,0.3,1 cutie = 500 g
"Lapte 1,4% cu gust de vanilie Muller",79,3.5,1.4,13.2,0,1 sticla = 425 g
"Lapte 1,5 fara lactoza Zuzu",44,3.1,1.5,4.5,0,
"Lapte 1,5% Big Panda",46,3.3,1.5,4.7,0,
"Lapte 1,5% Boni",44,3,1.5,4.7,0,
"Lapte 1,5% Carm Olimp",44,3.2,1.5,4.5,0,
"Lapte 1,5% Clever Billa",44,3,1.5,4.7,0,
"Lapte 1,5% eco Naturmaelk",45,3.5,1.5,4.9,0,
