Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Covrigei cu chimen Mini Feast,465.4,9.2,15.8,66.6,0,1 punga = 100 g
Covrigei cu chimen si sare Circuss,404,12.3,8.4,67.4,0,1 covrig = 7 g
Covrigei cu mac Franzeluta,393.3,9.8,6.4,73.2,0,1 punga = 500 g
Covrigei cu mac si sare Circuss,446,11.8,7.5,69.5,0,
Covrigei cu sare Clip Pretzels Ulker,400,10,9.5,70,5,1 punga = 80 g
Covrigei cu sare Dolce Diaco,424,6.8,7.1,82.1,0,
Covrigei cu susan Carrefour,448,10.5,13.5,71,0,1 pachet = 80g
Covrigei cu tarate si ulei de masline May Day,448,10.7,14.4,89.1,0,1 punga = 180 g
Covrigei cu vin alb Grand Papa Vel Pital,434,10,15,70,5,1 punga mica = 100 g
Covrigei de Buzau,418,11.2,6.1,77.4,0,
Covrigei mediteraneeni garden mix Dr. Krantz,467,8.1,18.1,68,0,1 punga = 125 g
Covrigei Pretzel crackers cu tarate Crispy Goodies May Day,413.3,11.7,6.5,77,8.9,1 punga = 180 g
Covrigei pretzels cu sare Tecsa,397,10.4,8,74.8,7.7,1 punga = 80 g
Covrigei sarati Soltino,386,12.6,4.2,72.6,3.5,
Covrigei tarate Alka,465,8.2,18.3,67,2,1 punga = 125 g
Covrigi cu mac Hai-Hui,446,11.8,13.4,69.5,0,1 buc = 10 g
Covrigi cu sare si mac Cornelius,345,7.8,1.9,72,0,1 punga = 250 g
Covrigi cu susan Cornelius,345,7.8,1.9,72,0,1 punga = 100 g
Covrigi din grau Galfim,412,12.7,12.7,70.2,1.6,1 pachet = 400 g
Covrigi simpli Rontaila,333,7.8,1.9,70,2.4,1 buc = 10 g
Cracker cu ulei de masline si rozmarin Colussi,435,11.1,11.8,69.3,3.5,
Crackeri din faina integrala Colussi,428,11,12,69,5.7,1 buc = 7 g
Crackers cu usturoi salbatic si parmezan Muhle,420,10,14,63,0,
Crackers Mulino Bianco,439,10,13,68,4.8,1 pachet = 25 g
Crakers integrali Crich,437,11.1,13,65.9,6.1,1 pachet = 25 g
Crochete cu branza si chimen Boromir,469,11,25,50,0,1 punga = 150 g
Dnacks cheese Circus Lidl,532,5.8,32.7,55.2,0,1 punga = 60 g
Fructe mix uscate Food Snacking Fit Food Kluth,234,2.7,0.2,60.6,6.4,1 punga = 200 g
Grisine Allora,425.2,9.9,11.9,69.6,0,1 punga = 200 g
Grisine crocante Torinesi Mulino Bianco,401,10,8.3,71.6,3.3,1 cutie = 125 g 
Grisine cu aroma de smantana Pavi,129,13.2,5.4,9.6,10,1 punga = 100 g 
Grisine cu fibre Pavi,88,1.5,7.8,2.2,30,1 punga = 100 g
Grisine cu rozmarin Roberto,400,12,8,72,0,6 grisine = 32 g
Grisine cu sare Pavi,277,8,7,41,2,1 punga = 75 g
Grisine cu susan Primo,437,11,12.9,69.2,0,1 punga = 90 g
Grisine cu tarate de grau si ierburi mediteraneene 365,112.7,3,9.3,3.5,0,
Grisine cu ulei de masline 365,425,12.9,8.8,73.5,0,1 punga = 90 g
Grisine Friabili,398,10,6.6,75.2,0,1 pachet = 70 g
Grisine integrale La Mole,130,5,1,23,1,
Grisine simple Luno,265,8,7,42,0,1 punga = 75 g
Grisine simple Winny,265,8,7,42,0,1 punga = 100 g
Inele din cereale Fun Zoo,384,6.4,1.9,83.8,3.1,1 punga = 250 g
Micro popcorn cu sare Chio,428,8.1,21,48,8.3,1 punga = 80 g
Mix brezel &crackers Croco,480,9.2,21.9,60,2.9,100g
Mix student cu stafide 365,439,10.6,21.5,47.3,6.9,1 pachet = 200 g
Nachos Tortilla Chips Chili Casa Fiesta,500,6.5,23,65,0,
Nuci braziliene Farmer' Snack,695,16,67,3.6,0,1 punga = 200 g
Nuci pecan prajite si sarate Casino,731,9,75,5,9,1 punga = 100 g
Popcorn bacon Chio Micro,427.1,7.9,23.1,46.9,8,1 punga = 90 g
Popcorn cu aroma de branza Crox,419,8.3,19.4,47.7,0,1 punga = 100 g
Popcorn cu cascaval,475,11.5,21,60,3,
Popcorn cu sare Mogyi,461,8.2,24.2,52,0,1 pachet =100 g
Popcorn cu unt pentru microunde Star Foods,420,9.5,20,48,8,
Popcorn in ulei,518,9,28.1,57.1,0,
Popcorn pentru microunde cu sare Carrefour,462,8.3,24.3,52.7,0,1 punga =100 g
Popcorn pentru microunde cu sare Star,460,9,22,52,7.3,1 punga = 125 g
Porumb floricele pop corn Orlando's,383,4,0.7,90,0.8,1 punga = 200 g
Porumb prajit Mexicorn Mogyi,510,7.3,19.6,76,0,1 punga = 70 g
Protein Breadsticks Myprotein,428,31,10,52,3,1 punga = 100 g
Pufuleti,445,5,22,58,0,
Pufuleti Buggy Matias,294,6.4,1.5,62.1,0,
